="Numéro FINESS";="SIRET";="APE";="Raison sociale";="Complément distribution";="Adresse";="Lieudit/BP";="Code postal";="Libelle routage";="Tel";="Fax";
="310025739";="213 104 672 00075";;="AIRE D'ACCUEIL DES GENS DU VOYAGE";;="";;="31140";="ST ALBAN";="05 62 75 93 90 ";;
="310025747";;;="AIRE D'ACCUEIL DES GENS DU VOYAGE";="MONPAPOU";="";;="31650";="ST ORENS DE GAMEVILLE";;;
="310025754";="213 102 544 00011";;="AIRE D'ACCUEIL DES GENS DU VOYAGE";="GRANDE RIVIERE";="";;="31670";="LABEGE";="05 62 24 44 44 ";;
="310025770";;;="AIRE D'ACCUEIL DES GENS DU VOYAGE";;="";;="31330";="GRENADE";;;
="310025788";;;="AIRE D'ACCUEIL DES GENS DU VOYAGE";;="";;="31600";="MURET";;;
="310025796";;;="AIRE D'ACCUEIL DES GENS DU VOYAGE";;="";;="31470";="ST LYS";;;
="310025804";;;="AIRE D'ACCUEIL DES GENS DU VOYAGE";;="";;="31120";="PORTET SUR GARONNE";;;
="310025812";;;="AIRE D'ACCUEIL DES GENS DU VOYAGE";;="";;="31840";="AUSSONNE";;;
="310025838";;;="AIRE D'ACCUEIL DES GENS DU VOYAGE";="LES CARENES";="";;="31130";="BALMA";;;
="310025846";="213 100 225 00019";;="AIRE D'ACCUEIL DES GENS DU VOYAGE";="MAZELIER";="";;="31140";="AUCAMVILLE";="05 62 75 94 94 ";;
="310786371";="776 951 980 00049";;="CAMP DE GINESTOUS";;="CHEMIN DE GINESTOUS";;="31200";="TOULOUSE";="05 61 70 01 05 ";;
="350031100";;;="TERRAIN ACCUEIL GENS DU VOYAGE";;="RUE DU PERE GRIGNON";;="35740";="PACE";="02 99 29 75 00 ";;
="350031118";;;="TERRAIN ACCUEIL GENS DU VOYAGE";;="LA MOTTE D'ILLE";;="35830";="BETTON";="02 99 55 81 01 ";;
="350031126";;;="TERRAIN ACCUEIL GENS DU VOYAGE";;="LE CHAMP NIGUEL";;="35170";="BRUZ";="02 99 52 61 39 ";;
="350031159";;;="TERRAIN ACCUEIL GENS DU VOYAGE";;="LE POUCEL";;="35770";="VERN SUR SEICHE";="02 99 62 73 28 ";;
="350031175";;;="TERRAIN ACCUEIL GENS DU VOYAGE";;="LES RIVIERES";;="35310";="MORDELLES";="02 99 60 40 46 ";;
="350031191";;;="TERRAIN ACCUEIL GENS DU VOYAGE";;="MAHOMAT";;="35650";="LE RHEU";="02 99 60 71 31 ";;
="350031217";;;="TERRAIN ACCUEIL GENS DU VOYAGE";;="ROUTE DE PACE";;="35760";="MONTGERMONT";="02 99 68 83 88 ";;
="350031258";;;="TERRAIN ACCUEIL GENS DU VOYAGE";;="RUE DE LA MEZIERE";;="35850";="GEVEZE";;;
="350031274";;;="TERRAIN ACCUEIL GENS DU VOYAGE";;="LA ROLAUDIERE";;="35120";="DOL DE BRETAGNE";="02 99 48 00 17 ";;
="350031290";;;="TERRAIN ACCUEIL GENS DU VOYAGE";;="RUE DE LA LANDE DU BAS";;="35300";="FOUGERES";;;
="350031316";;;="TERRAIN ACCUEIL GENS DU VOYAGE";;="LES LOGES";;="35135";="CHANTEPIE";="02 99 41 42 33 ";;
="350031365";;;="TERRAIN ACCUEIL GENS DU VOYAGE";;="LA CROIX AUX POTIERS";;="35131";="CHARTRES DE BRETAGNE";="02 99 41 21 06 ";;
="350031381";;;="TERRAIN ACCUEIL GENS DU VOYAGE";="MONTAGNE ST JOSEPH";="RUE DES PRAIRIES";;="35400";="ST MALO";="02 99 40 59 27 ";;
="350031407";;;="TERRAIN ACCUEIL GENS DU VOYAGE";="PLAINE DE BAUD";="AVENUE FRANCOIS CHATEAU";;="35000";="RENNES";="02 99 36 87 17 ";;
="350031415";;;="TERRAIN ACCUEIL GENS DU VOYAGE";;="68 AVENUE GROS MALHON";;="35000";="RENNES";="02 99 59 69 11 ";;
="350031431";;;="TERRAIN ACCUEIL GENS DU VOYAGE";;="LE MATELOU";;="35520";="LA CHAPELLE DES FOUGERETZ";;;
="350031472";;;="TERRAIN ACCUEIL GENS DU VOYAGE";;="D27";;="35235";="THORIGNE FOUILLARD";="02 99 62 01 18 ";;
="440008225";="785 933 474 00021";;="AIRE STAT.NOMADES 'LA CLARIERE'";="DOULON";="CHEMIN MOULIN DES MARAIS";;="44300";="NANTES";="02 40 50 01 91 ";;
="440009520";="785 933 474 00039";;="AIRE STAT.NOMADES 'LA FARDIERE'";;="BOULEVARD GENERAL KOENIG";;="44100";="NANTES";="02 40 43 32 10 ";;
="440009546";="785 933 474 00104";;="ASSOCIATION 'LE RELAIS'";;="19 RUE JOHANNES GUTENBERG";="BP 4119";="44341";="BOUGUENAIS CEDEX";="02 51 70 69 15 ";="02 51 70 69 19";
="440019032";="785 933 474 00047";;="AIRE STAT.NOMADES 'MEAN'";="MEAN";="CHEMIN DE LA PETITE PATURE";;="44600";="ST NAZAIRE";="02 40 66 73 94 ";;
="450008727";="311 031 322 00010";;="AIRE STAT POUR GENS DU VOYAGE";;="";;="45046";="ORLEANS CEDEX 1";="02 38 63 51 54 ";;
="450008735";="214 502 528 00109";;="AIRE DE STATION POUR NOMADES";;="CHEMIN BITRY ET-ST-MATURIN";;="45300";="PITHIVIERS";="02 38 30 08 77 ";;
="500024443";="200 067 205 00019";;="AIRE ACCUEIL GDV BREQUECAL TOURLAVILLE";="ACCUEIL DES GENS DU VOYAGE";="ROUTE DE BREQUECAL";="TOURLAVILLE";="50110";="CHERBOURG EN COTENTIN";="02 33 22 59 98 ";;
="500024450";="200 067 205 00019";;="AIRE ACCUEIL GDV JACK MESLIN CHERBOURG";="ACCUEIL DES GENS DU VOYAGE";="CHEMIN DES RAGOTINS";="CHERBOURG-OCTEVILLE";="50100";="CHERBOURG EN COTENTIN";="02 33 21 59 54 ";;
="500024468";="200 069 425 00011";;="AIRE ACCUEIL GDV AVRANCHES";="ACCUEIL DES GENS DU VOYAGE";="ROUTE DE SAINT-BRICE";;="50300";="AVRANCHES";="02 33 79 33 68 ";;
="500024476";="200 069 425 00011";;="AIRE ACCUEIL GDV ST-HILAIRE DUHARCOUET";="ACCUEIL DES GENS DU VOYAGE";="";="LES PARES BALLES";="50600";="ST HILAIRE DU HARCOUET";="02 33 59 90 88 ";;
="500024484";="200 067 031 00019";;="AIRE ACCUEIL GDV COCM PERIERS";="ACCUEIL DES GENS DU VOYAGE";="ROUTE DE MONTSURVENT";;="50190";="PERIERS";="02 33 07 98 55 ";;
="500024500";="200 067 205 00019";;="AIRE ACCUEIL GDV BEAULIEU VALOGNES";="ACCUEIL DES GENS DU VOYAGE";="ROUTE DE ST-SAUVEUR LE VICOMTE";="LE GIBET";="50700";="VALOGNES";="06 01 18 53 68 ";;
="500024526";="200 042 604 00013";;="AIRE ACCUEIL GDV GRANVILLE";="ACCUEIL DES GENS DU VOYAGE";="ROUTE DE SAINT-PLANCHERS";;="50400";="GRANVILLE";="02 33 51 84 98 ";;
="500024534";="200 066 389 00012";;="AIRE ACCUEIL GDV CA SAINT-LO AGGLO";="ACCUEIL DES GENS DU VOYAGE";="CHEMIN DU VIEUX CANDOL";;="50000";="ST LO";;;
="500024542";="200 042 729 00018";;="AIRE ACCUEIL GDV CARENTAN LES MARAIS";="ACCUEIL DES GENS DU VOYAGE";="LIEU DIT BLACTOT";;="50500";="CARENTAN LES MARAIS";;;
="500024567";="200 067 023 00016";;="AIRE ACCUEIL GDV CC COUTANCES";="ACCUEIL DES GENS DU VOYAGE";="";;="50200";="COUTANCES";;;
="500024575";="200 067 031 00019";;="AIRE DE GRAND PASSAGE GDV LESSAY";="ACCUEIL DES GENS DU VOYAGE";="ROUTE DE COUTANCES";="FOIRE SAINTE-CROIX";="50430";="LESSAY";;;
="520003963";="245 200 530 00013";;="AIRE STATIONEMENT NOMADES";;="ROUTE D'ANCERVILLE";;="52100";="ST DIZIER";="03 25 07 31 30 ";="03 25 56 59 40";
="520003989";="245 200 456 00011";;="AIRE STATIONEMENT NOMADES";;="";="LA VENDUE";="52903";="CHAUMONT CEDEX 9";="03 25 02 67 00 ";="03 25 02 04 00";
="520004003";="245 200 449 00073";;="AIRE STATIONEMENT NOMADES";;="CHEMIN DU MOULIN ROUGE";;="52200";="LANGRES";="03 25 87 32 21 ";="03 25 87 07 04";
="520004029";="215 200 403 00024";;="AIRE STATIONEMENT NOMADES";="ZONE INDUSTRIELLE NORD";="";;="52400";="BOURBONNE LES BAINS";="03 25 90 14 80 ";="03 25 90 69 40";
="530003649";;;="AIRE DE STATIONNEMENT";;="PLACE DE LA GARE";;="53400";="CRAON";;;
="530003748";;;="AIRE DE STATIONNEMENT";;="ROUTE D'AMPOIGNE";;="53200";="CHATEAU GONTIER SUR MAYENN";;;
="530003789";;;="AIRE DE STATIONNEMENT";;="";="LA DAVIERE";="53100";="MAYENNE";;;
="610008104";="200 035 814 00017";;="AIRE ACCUEIL GDV FLERS AGGLO";="ACCUEIL DES GENS DU VOYAGE";="678 RUE DE LA MINIERE";;="61100";="FLERS";="02 33 38 89 30 ";;
="610008518";="200 068 450 00010";;="AIRE ACCUEIL GDV ARGENTAN INTERCOM";="ACCUEIL DES GENS DU VOYAGE";="";="LIEU-DIT BEAULIEU";="61200";="ARGENTAN";="06 33 39 44 22 ";;
="610008534";="200 068 468 00012";;="AIRE ACCUEIL GDV CC PAYS DE L'AIGLE";="ACCUEIL DES GENS DU VOYAGE";="";="LIEU-DIT LA CROIX LAMIRAULT";="61300";="L AIGLE";="02 33 84 49 59 ";;
="610008559";="246 100 663 00011";;="AIRE ACCUEIL GDV CUA VALFRAMBERT";="ACCUEIL DES GENS DU VOYAGE";="LIEU DIT LES BALLUIES";="ZAC RD31";="61250";="VALFRAMBERT";;;
="610008849";="200 035 814 00017";;="AIRE ACCUEIL GDV LA FERTE-MACE";="ACCUEIL DES GENS DU VOYAGE";="ROUTE DE FALAISE      RD 19";;="61600";="LA FERTE MACE";="02 33 14 00 40 ";;
="640789509";;;="AIRE DE STATIONNEMENT";;="LIEUDIT GLAIN";;="64100";="BAYONNE";="05 59 59 28 98 ";;
="640789517";;;="AIRE CAMI SALIE";;="BOULEVARD CAMI SALIE";;="64000";="PAU";="05 59 02 81 31 ";;
="650785736";="320 625 544 00020";;="HALTE ST VINCENT DE PAUL";;="QUARTIER DE LILLE";;="65000";="TARBES";="05 62 34 58 35 ";;
="680008737";;;="AIRE STATION NOMADES RUE DE BALE";;="2 RUE PIERRE ET MARIE CURIE";="BP 3089";="68062";="MULHOUSE CEDEX 3";;;
="710975954";="247 100 589 00099";;="AIRE STATIONNEMENT POUR NOMADES";="TERRAIN COMMUNAL";="RUE FERRE";;="71100";="CHALON SUR SAONE";="03 85 94 15 15 ";;
="760032367";="200 023 414 00010";;="AIRE ACCUEIL GDV ROUEN PETIT-QUEVILLY";="ACCUEIL DES GENS DU VOYAGE";="RUE TURQUIE DE LONGCHAMP";;="76000";="ROUEN";;;
="760032375";="200 023 414 00010";;="AIRE ACCUEIL GDV QUEVILLY PT-COURONNE";="ACCUEIL DES GENS DU VOYAGE";="AVENUE GENERAL LECLERC";;="76120";="LE GRAND QUEVILLY";="02 35 69 22 96 ";;
="760032383";="200 023 414 00010";;="AIRE ACCUEIL GDV SOTTEVILLE-LES-ROUEN";="ACCUEIL DES GENS DU VOYAGE";="4 CHEMIN DU HALAGE";;="76300";="SOTTEVILLE LES ROUEN";="02 35 63 87 40 ";;
="760032391";="200 023 414 00010";;="AIRE ACCUEIL GDV D'ELBEUF";="ACCUEIL DES GENS DU VOYAGE";="6 RUE PIERRE ET MARIE CURIE";;="76500";="ELBEUF";;;
="760032409";="200 023 414 00010";;="AIRE ACCUEIL GDV ND DE BONDEVILLE";="ACCUEIL DES GENS DU VOYAGE";="RUE DE L'ABBAYE";;="76960";="NOTRE DAME DE BONDEVILLE";;;
="760032417";="200 023 414 00010";;="AIRE ACCUEIL GDV DE GRAND-COURONNE";="ACCUEIL DES GENS DU VOYAGE";="ALLEE DE LA COTE MUTEL";;="76530";="GRAND COURONNE";;;
="760032425";="200 023 414 00010";;="AIRE ACCUEIL GDV DU TRAIT";="ACCUEIL DES GENS DU VOYAGE";="CHEMIN DES MARAIS";="CLOS SAINT JUIN";="76580";="LE TRAIT";="02 32 76 69 41 ";;
="760032433";="200 023 414 00010";;="AIRE ACCUEIL GDV DE DARNETAL";="ACCUEIL DES GENS DU VOYAGE";="RUE DE L'AVALASSE";;="76160";="DARNETAL";;;
="760032441";="200 084 952 00015";;="AIRE ACCUEIL GDV CU LE HAVRE";="ACCUEIL DES GENS DU VOYAGE";="66 RUE JULES DELAMARRE";="QUARTIER VALLEE-BEREULT";="76600";="LE HAVRE";="02 35 24 01 12 ";;
="760032466";="200 084 952 00015";;="AIRE DE GRAND PASSAGE GDV CU LE HAVRE";="ACCUEIL DES GENS DU VOYAGE";="CHEMIN VICINAL 2";="LA FERME SAINT-LOUIS - ROUELLES";="76610";="LE HAVRE";="02 35 22 25 25 ";;
="760032474";="247 600 620 00063";;="AIRE ACCUEIL GDV CCYN YVETOT";="ACCUEIL DES GENS DU VOYAGE";="RUE DU MONT JOLY";;="76190";="YVETOT";;;
="760032508";="247 600 646 00019";;="AIRE ACCUEIL GDV CCCA BARENTIN";="ACCUEIL DES GENS DU VOYAGE";="D143 A";;="76360";="BARENTIN";="02 35 23 86 20 ";="02 35 23 86 24";
="760032516";="200 069 821 00011";;="AIRE ACCUEIL GDV FECAMP CAUX LITTORAL";="ACCUEIL DES GENS DU VOYAGE";="CHEMIN ROBERT THIEBAUD";="PLATEAU SAINT-JACQUES";="76400";="FECAMP";="02 35 10 60 00 ";;
="760032524";="247 600 786 00112";;="AIRE ACCUEIL GDV DIEPPE";="ACCUEIL DES GENS DU VOYAGE";="CHEMIN DE LA RIVIERE";;="76200";="DIEPPE";="02 35 06 60 00 ";;
="760032532";="200 069 730 00014";;="AIRE ACCUEIL GDV GOURNAY EN BRAY";="ACCUEIL DES GENS DU VOYAGE";="AVENUE DES ANCIENS COMBATTANTS";;="76220";="GOURNAY EN BRAY";="02 32 89 90 00 ";;
="760032540";="200 070 068 00081";;="AIRE ACCUEIL GDV NEUFCHATEL EN BRAY";="ACCUEIL DES GENS DU VOYAGE";="ROUTE DE LA SOMMERY";;="76270";="NEUFCHATEL EN BRAY";="02 32 97 53 09 ";="02 35 94 48 67";
="760032557";="200 084 952 00015";;="AIRE ACCUEIL GDV HARFLEUR";="ACCUEIL DES GENS DU VOYAGE";="44 RUE PAUL DOUMER";="QUARTIER DE FLEURVILLE";="76700";="HARFLEUR";="02 35 13 30 00 ";;
="760032565";="200 084 952 00015";;="AIRE ACCUEIL GDV GONFREVILLE-L'ORCHER";="ACCUEIL DES GENS DU VOYAGE";="RUE PIERRE GLENISSON";;="76700";="GONFREVILLE L ORCHER";="02 35 13 18 00 ";;
="760032581";="247 600 588 00047";;="AIRE ACCUEIL GDV CCVS EU-LE TREPORT";="ACCUEIL DES GENS DU VOYAGES";="ROUTE DE SAINT-VALERY";;="76260";="EU";="02 35 86 20 76 ";;
="760032615";="200 023 414 00010";;="AIRE DE GRAND PASSAGE GDV ROUEN";="ACCUEIL DES GENS DU VOYAGE";="RUE DE REPAINVILLE";="TERRAIN DE REPAINVILLE";="76000";="ROUEN";="02 32 76 69 41 ";;
="760032623";="200 023 414 00010";;="AIRE ACCUEIL GDV PROVISOIRE ST-ETIENNE";="ACCUEIL DES GENS DU VOYAGE";="RUE DE LA COURONNE PROLONGEE";="AIRE DES GRAVIERS";="76800";="ST ETIENNE DU ROUVRAY";="02 32 76 69 41 ";;
="760032631";="200 023 414 00010";;="AIRE ACCUEIL GDV PROVISOIRE CLEON";="ACCUEIL DES GENS DU VOYAGE";="BORDURE VCS";;="76410";="CLEON";="02 35 77 78 62 ";;
